Security Code,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument
934917,1075STF20,Shriram Transport Finance Co. Ltd.,Active,F ,1000,INE721A07GT7,Finance (including NBFCs),Debentures and Bonds
934919,0STFC18V,Shriram Transport Finance Co. Ltd.,Active,F ,1000,INE721A07GV3,Finance (including NBFCs),Debentures and Bonds
934920,0STFC20VI,Shriram Transport Finance Co. Ltd.,Active,F ,1000,INE721A07GW1,Finance (including NBFCs),Debentures and Bonds
934923,1075MFL18C,MUTHOOT FINANCE Ltd,Active,F ,1000,INE414G07373,Finance (including NBFCs),Debentures and Bonds
934926,1125MFL18F,MUTHOOT FINANCE Ltd,Active,F ,1000,INE414G07407,Finance (including NBFCs),Debentures and Bonds
934930,0MFL2018J,MUTHOOT FINANCE Ltd,Active,F ,1000,INE414G07449,Finance (including NBFCs),Debentures and Bonds
934931,0MFL2019K,MUTHOOT FINANCE Ltd,Active,F ,1000,INE414G08223,Finance (including NBFCs),Debentures and Bonds
934932,1152IIHF18,INDIA INFOLINE HOUSING FINANCE Ltd,Active,F ,1000,INE477L07040,Housing Finance ,Debentures and Bonds
934934,1075SCUF18H,Shriram-City Union Finance Ltd.,Active,F ,1000,INE722A07463,Finance (including NBFCs),Debentures and Bonds
934935,1075SCUF19I,Shriram-City Union Finance Ltd.,Active,F ,1000,INE722A07471,Finance (including NBFCs),Debentures and Bonds
934937,1075SCUF18K,Shriram-City Union Finance Ltd.,Active,F ,1000,INE722A07497,Finance (including NBFCs),Debentures and Bonds
934938,1075SCUF19L,Shriram-City Union Finance Ltd.,Active,F ,1000,INE722A07505,Finance (including NBFCs),Debentures and Bonds
934939,1075SCUF19M,Shriram-City Union Finance Ltd.,Active,F ,666.7,INE722A07513,Finance (including NBFCs),Debentures and Bonds
934947,1150MFL19H,Manappuram Finance Ltd,Active,F ,1000,INE522D07636,Finance (including NBFCs),Debentures and Bonds
934948,12MFL19I,Manappuram Finance Ltd,Active,F ,1000,INE522D07644,Finance (including NBFCs),Debentures and Bonds
934949,0MFL19J,Manappuram Finance Ltd,Active,F ,1000,INE522D07651,Finance (including NBFCs),Debentures and Bonds
934950,0MFL19K,Manappuram Finance Ltd,Active,F ,1000,INE522D07669,Finance (including NBFCs),Debentures and Bonds
934953,1185ECL19C,ECL Finance Ltd,Active,F ,1000,INE804I07SI2,Electric Utilities,Debentures and Bonds
934954,0ECL2019D,ECL Finance Ltd,Active,F ,1000,INE804I07SJ0,Electric Utilities,Debentures and Bonds
934957,1075MFL19,MUTHOOT FINANCE Ltd,Active,F ,1000,INE414G07472,Finance (including NBFCs),Debentures and Bonds
934960,1125MFL19VI,MUTHOOT FINANCE Ltd,Active,F ,1000,INE414G07506,Finance (including NBFCs),Debentures and Bonds
934964,0MFL19X,MUTHOOT FINANCE Ltd,Active,F ,1000,INE414G07548,Finance (including NBFCs),Debentures and Bonds
934965,0MFL20XI,MUTHOOT FINANCE Ltd,Active,F ,1000,INE414G08231,Finance (including NBFCs),Debentures and Bonds
934973,115SREI19H,SREI Infrastructure Finance Ltd,Active,F ,1000,INE872A07SN6,Finance (including NBFCs),Debentures and Bonds
934974,1175SREI19I,SREI Infrastructure Finance Ltd,Active,F ,1000,INE872A07SO4,Finance (including NBFCs),Debentures and Bonds
934975,1094SREI19J,SREI Infrastructure Finance Ltd,Active,F ,1000,INE872A07SP1,Finance (including NBFCs),Debentures and Bonds
934976,1116SREI19K,SREI Infrastructure Finance Ltd,Active,F ,1000,INE872A07SQ9,Finance (including NBFCs),Debentures and Bonds
934977,125SREI19L,SREI Infrastructure Finance Ltd,Active,F ,1000,INE872A07SS5,Finance (including NBFCs),Debentures and Bonds
934986,1250MMFL17,Muthoottu Mini Financiers Ltd,Active,F ,1000,INE101Q07052,Financial Institutions,Debentures and Bonds
934988,13MMFL17,Muthoottu Mini Financiers Ltd,Active,F ,1000,INE101Q07060,Financial Institutions,Debentures and Bonds
934990,1350MMFL17,Muthoottu Mini Financiers Ltd,Active,F ,1000,INE101Q07078,Financial Institutions,Debentures and Bonds
934992,1343MMFL19,Muthoottu Mini Financiers Ltd,Active,F ,1000,INE101Q07086,Financial Institutions,Debentures and Bonds
934996,1075MFL17B,MUTHOOT FINANCE Ltd,Active,F ,1000,INE414G07563,Finance (including NBFCs),Debentures and Bonds
934998,1025MFL19C,MUTHOOT FINANCE Ltd,Active,F ,1000,INE414G07571,Finance (including NBFCs),Debentures and Bonds
935002,11MFL17E,MUTHOOT FINANCE Ltd,Active,F ,1000,INE414G07597,Finance (including NBFCs),Debentures and Bonds
935004,1075MFL19F,MUTHOOT FINANCE Ltd,Active,F ,1000,INE414G07605,Finance (including NBFCs),Debentures and Bonds
935010,0MFL17I,MUTHOOT FINANCE Ltd,Active,F ,1000,INE414G07639,Finance (including NBFCs),Debentures and Bonds
935012,0MFL2019J,MUTHOOT FINANCE Ltd,Active,F ,1000,INE414G07647,Finance (including NBFCs),Debentures and Bonds
935014,0MFL20K,MUTHOOT FINANCE Ltd,Active,F ,1000,INE414G08249,Finance (including NBFCs),Debentures and Bonds
935016,12IIHFL2020,INDIA INFOLINE HOUSING FINANCE Ltd,Active,F ,1000,INE477L08014,Housing Finance ,Debentures and Bonds
935018,0IIHFL2020,INDIA INFOLINE HOUSING FINANCE Ltd,Active,F ,1000,INE477L08022,Housing Finance ,Debentures and Bonds
935028,1225MFL17,Manappuram Finance Ltd,Active,F ,1000,INE522D07727,Finance (including NBFCs),Debentures and Bonds
935030,125MFL17,Manappuram Finance Ltd,Active,F ,1000,INE522D07735,Finance (including NBFCs),Debentures and Bonds
935032,0MFL2017,Manappuram Finance Ltd,Active,F ,1000,INE522D07743,Finance (including NBFCs),Debentures and Bonds
935034,115MFL19,Manappuram Finance Ltd,Active,F ,1000,INE522D07750,Finance (including NBFCs),Debentures and Bonds
935036,12MFL19,Manappuram Finance Ltd,Active,F ,1000,INE522D07768,Finance (including NBFCs),Debentures and Bonds
935038,0MFL2019,Manappuram Finance Ltd,Active,F ,1000,INE522D07776,Finance (including NBFCs),Debentures and Bonds
935040,0MFL2020,Manappuram Finance Ltd,Active,F ,1000,INE522D07784,Finance (including NBFCs),Debentures and Bonds
935044,1075SCUF17C,Shriram-City Union Finance Ltd,Active,F ,1000,INE722A07539,Finance (including NBFCs),Debentures and Bonds
935046,1085SCUF19,Shriram-City Union Finance Ltd,Active,F ,1000,INE722A07547,Finance (including NBFCs),Debentures and Bonds
935050,0SCUF17,Shriram-City Union Finance Ltd,Active,F ,1000,INE722A07562,Finance (including NBFCs),Debentures and Bonds
935052,0SCUF19,Shriram-City Union Finance Ltd,Active,F ,1000,INE722A07570,Finance (including NBFCs),Debentures and Bonds
935062,1300KFL17,Kosamattam Finance Ltd,Active,F ,1000,INE403Q07052,Finance (including NBFCs),Debentures and Bonds
935064,1350KFL17,Kosamattam Finance Ltd,Active,F ,1000,INE403Q07060,Finance (including NBFCs),Debentures and Bonds
935066,1343KFL19,Kosamattam Finance Ltd,Active,F ,1000,INE403Q07078,Finance (including NBFCs),Debentures and Bonds
935068,1140SREI17A,SREI Infrastructure Finance Ltd,Active,F ,1000,INE872A07ST3,Finance (including NBFCs),Debentures and Bonds
935070,1200SREI17,SREI Infrastructure Finance Ltd,Active,F ,1000,INE872A07SU1,Finance (including NBFCs),Debentures and Bonds
935072,0SREI17H,SREI Infrastructure Finance Ltd,Active,F ,1000,INE872A07SV9,Finance (including NBFCs),Debentures and Bonds
935074,1140SREI19,SREI Infrastructure Finance Ltd,Active,F ,1000,INE872A07SW7,Finance (including NBFCs),Debentures and Bonds
935076,1150SREI19,SREI Infrastructure Finance Ltd,Active,F ,1000,INE872A07SX5,Finance (including NBFCs),Debentures and Bonds
935078,1200SREI19,SREI Infrastructure Finance Ltd,Active,F ,1000,INE872A07SY3,Finance (including NBFCs),Debentures and Bonds
935080,0SREI19,SREI Infrastructure Finance Ltd,Active,F ,1000,INE872A07SZ0,Finance (including NBFCs),Debentures and Bonds
935082,1070SREI17,SREI Infrastructure Finance Ltd,Active,F ,1000,INE872A07TA1,Finance (including NBFCs),Debentures and Bonds
935084,1125SREI17,SREI Infrastructure Finance Ltd,Active,F ,1000,INE872A07TB9,Finance (including NBFCs),Debentures and Bonds
935086,1095SREI19,SREI Infrastructure Finance Ltd,Active,F ,1000,INE872A07TC7,Finance (including NBFCs),Debentures and Bonds
935088,12ECL20I,ECL Finance Ltd,Active,F ,1000,INE804I08601,Electric Utilities,Debentures and Bonds
935090,12ECL20II,ECL Finance Ltd,Active,F ,1000,INE804I08619,Electric Utilities,Debentures and Bonds
935092,0ECL20III,ECL Finance Ltd,Active,F ,1000,INE804I08627,Electric Utilities,Debentures and Bonds
935096,1075MFL17C,MUTHOOT FINANCE Ltd,Active,F ,1000,INE414G07662,Finance (including NBFCs),Debentures and Bonds
935098,1025MFL19D,MUTHOOT FINANCE Ltd,Active,F ,1000,INE414G07670,Finance (including NBFCs),Debentures and Bonds
935102,11MFL17F,MUTHOOT FINANCE Ltd,Active,F ,1000,INE414G07696,Finance (including NBFCs),Debentures and Bonds
935104,1075MFL19G,MUTHOOT FINANCE Ltd,Active,F ,1000,INE414G07704,Finance (including NBFCs),Debentures and Bonds
935110,0MFL17J,MUTHOOT FINANCE Ltd,Active,F ,1000,INE414G07738,Finance (including NBFCs),Debentures and Bonds
935112,0MFL2019L,MUTHOOT FINANCE Ltd,Active,F ,1000,INE414G07746,Finance (including NBFCs),Debentures and Bonds
